Team,OFF,DEF,NET,aOFF,aDEF,aNET,OFF_R,DEF_R,NET_R,aOFF_R,aDEF_R,aNET_R
Oklahoma City Thunder,115.7,102.9,12.8,116.2,103.0,13.2,6,1,1,3,6,1
Cleveland Cavaliers,121.3,110.8,10.5,121.3,111.4,9.9,1,9,2,1,18,2
Boston Celtics,118.8,110.0,8.9,119.4,110.4,9.0,3,6,3,2,16,3
Memphis Grizzlies,117.1,110.0,7.1,111.2,104.6,6.5,5,6,4,8,8,4
Houston Rockets,113.4,107.2,6.2,107.6,101.7,5.9,10,3,5,19,2,5
New York Knicks,119.2,113.0,6.2,113.7,108.0,5.6,2,16,5,5,12,6
Denver Nuggets,117.4,112.9,4.5,111.9,107.3,4.6,4,15,7,7,10,7
Dallas Mavericks,115.7,111.4,4.3,107.0,102.9,4.1,6,12,8,20,5,8
Sacramento Kings,115.3,112.6,2.7,115.7,113.2,2.4,8,14,9,4,24,9
Minnesota Timberwolves,111.4,109.5,1.9,105.7,103.7,1.9,19,5,10,22,7,10
LA Clippers,109.8,108.6,1.2,104.5,102.7,1.8,24,4,13,27,4,11
Orlando Magic,108.4,106.7,1.6,102.7,101.1,1.6,28,2,12,30,1,12
Milwaukee Bucks,112.6,110.9,1.7,103.1,101.8,1.4,13,10,11,29,3,13
Miami Heat,112.3,111.1,1.2,106.2,105.3,0.9,15,11,13,21,9,14
Golden State Warriors,110.9,110.5,0.5,108.5,107.6,0.9,21,8,15,16,11,14
San Antonio Spurs,111.8,112.3,-0.5,109.1,109.5,-0.5,17,13,16,15,13,16
Indiana Pacers,113.8,114.4,-0.6,111.2,111.7,-0.5,9,21,17,8,19,16
Detroit Pistons,112.3,113.2,-0.9,112.3,113.3,-1.0,15,17,18,6,25,18
Atlanta Hawks,111.5,113.3,-1.8,108.2,110.2,-2.0,18,18,19,17,15,19
Phoenix Suns,113.3,115.1,-1.8,110.7,112.8,-2.1,11,22,19,10,22,20
Los Angeles Lakers,112.7,115.7,-3.0,109.6,112.4,-2.7,12,24,21,14,21,21
Chicago Bulls,112.3,115.5,-3.2,109.8,113.1,-3.3,15,23,22,13,23,22
Philadelphia 76ers,109.6,113.4,-3.8,109.9,113.9,-4.0,25,20,23,12,27,23
Brooklyn Nets,110.7,116.1,-5.4,105.3,110.4,-5.1,22,25,24,26,16,24
Toronto Raptors,110.3,117.0,-6.8,107.8,113.7,-5.9,23,26,26,18,26,25
Charlotte Hornets,107.2,113.3,-6.1,104.0,109.9,-5.9,29,18,25,28,14,25
Utah Jazz,111.4,118.2,-6.8,105.7,112.2,-6.5,19,29,26,22,20,27
Portland Trail Blazers,109.1,117.5,-8.4,110.0,118.2,-8.2,26,27,28,11,29,28
New Orleans Pelicans,108.6,117.6,-9.0,105.5,114.8,-9.2,27,28,29,24,28,29
Washington Wizards,105.1,118.6,-13.5,105.5,118.3,-12.8,30,30,30,24,30,30
