Date,Team,playerID,Player,In,Out,Notes
2013-07-12,Mavericks,203499,Shane Larkin,False,True,fractured right ankle (out indefinitely)
2013-07-12,Suns,203458,Alex Len,False,True,surgery on left / right (P) ankle to repair stress fracture (out indefinitely)
2013-07-15,Knicks,2747,J.R. Smith,False,True,surgery on left knee to repair tear in lateral meniscus (out indefinitely)
2013-07-16,Mavericks,203499,Shane Larkin,False,True,surgery to repair fractured right ankle (out indefinitely)
2013-08-01,Pacers,203142,Chris Copeland,False,True,arthroscopic surgery on left knee to remove loose body (out indefinitely)
2013-09-09,Pelicans,203121,Darius Miller,False,True,surgery on left foot to repair stress fracture (out indefinitely)
2013-09-18,Wizards,202698,Chris Singleton,False,True,surgery on left foot (out indefinitely)
2013-09-18,Wizards,2731,Emeka Okafor,False,True,herniated disc in neck (out indefinitely)
2013-09-19,Wizards,202698,Chris Singleton,False,True,surgery on left foot to repair fractured bone (out indefinitely)
2013-09-27,76ers,203102,Arnett Moultrie,False,True,surgery on left ankle (out indefinitely)
2013-09-27,Timberwolves,201978,Chase Budinger,False,True,damaged cartilage in left knee (out indefinitely)
2013-10-01,Thunder,201566,Russell Westbrook,False,True,arthroscopic surgery on right knee (out indefinitely)
2013-10-08,Hawks,202970,Gustavo Ayon,False,True,strained right rotator cuff (out indefinitely)
2013-10-10,Bobcats,2217,Brendan Haywood,False,True,stress fracture in left foot (out indefinitely)
2013-10-10,Mavericks,201148,Brandan Wright,False,True,fractured left shoulder (surgery) (out indefinitely)
2013-10-10,Pistons,201155,Rodney Stuckey,False,True,fractured right thumb (out indefinitely)
2013-10-11,Bucks,202327,Ekpe Udoh,False,True,arthroscopic surgery on right knee (out indefinitely)
2013-10-11,Pistons,201155,Rodney Stuckey,False,True,surgery to repair fractured right thumb (out indefinitely)
2013-10-12,Bobcats,203469,Cody Zeller,False,True,appendectomy (out indefinitely)
2013-10-12,Jazz,203504,Trey Burke,False,True,fractured right index finger (out indefinitely)
2013-10-15,Jazz,203504,Trey Burke,False,True,surgery to repair fractured right index finger (out indefinitely)
2013-10-15,Kings,201171,Carl Landry,False,True,surgery on left hip to repair torn hip flexor muscle (out indefinitely)
2013-10-15,Pistons,201943,Brandon Jennings,False,True,impacted wisdom tooth (out indefinitely)
2013-10-16,Clippers,203146,Maalik Wayns,False,True,surgery on left knee to repair torn meniscus (out indefinitely) (date approximate)
2013-10-17,Bobcats,2217,Brendan Haywood,False,True,surgery on left foot to repair stress fracture (out indefinitely)
2013-10-28,Pacers,101122,Danny Granger,False,True,strained left calf (out indefinitely)
2013-10-29,76ers,2202,Jason Richardson,False,True,placed on IL recovering from surgery on left knee (out for season)
2013-10-29,76ers,203457,Nerlens Noel,False,True,placed on IL recovering from surgery on left knee (out for season)
2013-10-29,Bucks,2568,Carlos Delfino,False,True,recovering from surgery on right foot (out indefinitely)
2013-10-29,Cavaliers,203467,Carrick Felix,False,True,sports hernia (out indefinitely)
2013-10-29,Celtics,200765,Rajon Rondo,False,True,recovering from surgery on left knee to repair torn ACL (out indefinitely)
2013-10-29,Clippers,203146,Maalik Wayns,False,True,placed on IL recovering from surgery on left knee to repair torn meniscus
2013-10-29,Hawks,101150,Lou Williams,False,True,recovering from surgery on right knee (out indefinitely)
2013-10-29,Heat,201141,Greg Oden,False,True,placed on IL with surgery on knee
2013-10-29,Heat,2427,Roger Mason Jr.,False,True,placed on IL
2013-10-29,Lakers,203548,Elias Harris,False,True,placed on IL
2013-10-29,Lakers,977,Kobe Bryant,False,True,placed on IL recovering from surgery to repair torn left Achilles tendon
2013-10-29,Magic,203117,Doron Lamb,False,True,sprained right ankle (DNP)
2013-10-29,Magic,201175,Glen Davis,False,True,placed on IL recovering from surgery to repair fractured left foot
2013-10-29,Magic,2045,Hedo Turkoglu,False,True,placed on IL
2013-10-29,Magic,202699,Tobias Harris,False,True,sprained left ankle (DNP)
2013-10-29,Nuggets,201568,Danilo Gallinari,False,True,recovering from surgery on left knee to repair torn ACL (out indefinitely)
2013-10-29,Pacers,101122,Danny Granger,False,True,placed on IL with strained left calf
2013-10-29,Suns,2731,Emeka Okafor,False,True,placed on IL recovering from surgery on neck to repair herniated disc (out for season)
2013-10-29,Timberwolves,201978,Chase Budinger,False,True,recovering from surgery on left knee (out indefinitely)
2013-10-29,Warriors,203105,Festus Ezeli,False,True,recovering from surgery on right knee (out for season)
2013-10-29,Warriors,203084,Harrison Barnes,False,True,left foot injury (DNP)
2013-10-29,Wizards,203490,Otto Porter Jr.,False,True,placed on IL with strained right hip flexor
2013-10-30,76ers,203102,Arnett Moultrie,False,True,placed on IL recovering from surgery on left ankle
2013-10-30,76ers,2198,Kwame Brown,False,True,strained right hamstring (DNP)
2013-10-30,Blazers,2248,Earl Watson,False,True,placed on IL with strained left calf
2013-10-30,Bobcats,2732,Ben Gordon,False,True,right knee injury (DNP)
2013-10-30,Bobcats,2217,Brendan Haywood,False,True,placed on IL recovering from surgery on left foot to repair stress fracture (out for season)
2013-10-30,Bobcats,203480,James Southerland,False,True,placed on IL
2013-10-30,Bucks,2568,Carlos Delfino,False,True,placed on IL recovering from recovering from surgery on right foot (out for season)
2013-10-30,Bucks,202327,Ekpe Udoh,False,True,placed on IL recovering from arthroscopic surgery on right knee
2013-10-30,Bucks,2557,Luke Ridnour,False,True,sore back (DNP)
2013-10-30,Cavaliers,203467,Carrick Felix,False,True,placed on IL
2013-10-30,Cavaliers,203508,Sergey Karasev,False,True,placed on IL with sprained left ankle
2013-10-30,Celtics,200765,Rajon Rondo,False,True,placed on IL recovering from surgery on left / right (P) knee to repair torn ACL
2013-10-30,Hawks,202970,Gustavo Ayon,False,True,placed on IL with strained rotator cuff in right shoulder
2013-10-30,Hawks,202970,Gustavo Ayon,False,True,strained right rotator cuff (DNP)
2013-10-30,Hawks,101150,Lou Williams,False,True,placed on IL recovering from surgery on right knee
2013-10-30,Heat,2548,Dwyane Wade,False,True,placed on IL with sore knees
2013-10-30,Heat,2427,Roger Mason Jr.,True,False,activated from IL
2013-10-30,Jazz,2740,Andris Biedrins,False,True,placed on IL with sprained left (CBC) / right ankle
2013-10-30,Jazz,201575,Brandon Rush,False,True,recovering from surgery on left knee to repair torn ACL (DNP)
2013-10-30,Jazz,202379,Jeremy Evans,False,True,placed on IL with strained right rotator cuff
2013-10-30,Jazz,101107,Marvin Williams,False,True,recovering from surgery on right heel and Achilles tendon (DNP)
2013-10-30,Jazz,203504,Trey Burke,False,True,placed on IL recovering from surgery to repair fractured right index finger
2013-10-30,Kings,201171,Carl Landry,False,True,placed on IL recovering from surgery on left hip to repair torn hip flexor muscle
2013-10-30,Knicks,203315,Toure Murry,False,True,placed on IL
2013-10-30,Lakers,203527,Ryan Kelly,False,True,placed on IL
2013-10-30,Lakers,959,Steve Nash,False,True,rest (DNP)
2013-10-30,Magic,203117,Doron Lamb,False,True,sprained right ankle (DNP)
2013-10-30,Magic,202699,Tobias Harris,False,True,sprained left ankle (DNP)
2013-10-30,Mavericks,201148,Brandan Wright,False,True,placed on IL with fractured left shoulder (surgery)
2013-10-30,Mavericks,2734,Devin Harris,False,True,placed on IL recovering from surgery on left foot/toe
2013-10-30,Mavericks,203499,Shane Larkin,False,True,placed on IL recovering from surgery to repair fractured right ankle
2013-10-30,Nets,1905,Andrei Kirilenko,False,True,placed on IL with sore back
2013-10-30,Nuggets,201568,Danilo Gallinari,False,True,placed on IL recovering from surgery on left knee to repair torn ACL
2013-10-30,Nuggets,201163,Wilson Chandler,False,True,placed on IL with strained left hamstring
2013-10-30,Pelicans,203121,Darius Miller,False,True,placed on IL recovering from surgery on left foot to repair stress fracture
2013-10-30,Pelicans,201583,Ryan Anderson,False,True,placed on IL with fractured toe on right foot
2013-10-30,Pistons,201943,Brandon Jennings,False,True,placed on IL with impacted wisdom tooth
2013-10-30,Pistons,201155,Rodney Stuckey,False,True,placed on IL recovering from surgery to repair fractured right thumb
2013-10-30,Raptors,201189,Aaron Gray,False,True,placed on IL
2013-10-30,Raptors,203112,Quincy Acy,False,True,placed on IL
2013-10-30,Rockets,203496,Robert Covington,False,True,placed on IL
2013-10-30,Rockets,203093,Terrence Jones,False,True,strained right shoulder (DNP)
2013-10-30,Spurs,201986,Nando De Colo,False,True,placed on IL
2013-10-30,Thunder,201566,Russell Westbrook,False,True,placed on IL recovering from arthroscopic surgery on right knee
2013-10-30,Timberwolves,201985,A.J. Price,False,True,placed on IL
2013-10-30,Timberwolves,201978,Chase Budinger,False,True,placed on IL recovering from surgery on left knee
2013-10-30,Warriors,203105,Festus Ezeli,False,True,placed on IL recovering from surgery on right knee (out for season)
2013-10-30,Warriors,203084,Harrison Barnes,False,True,left foot injury (DNP)
2013-10-30,Wizards,202698,Chris Singleton,False,True,placed on IL recovering from surgery on left foot to repair fractured bone
2013-10-31,Knicks,202332,Cole Aldrich,False,True,placed on IL
2013-10-31,Knicks,203315,Toure Murry,True,False,activated from IL
2013-10-31,Warriors,203084,Harrison Barnes,False,True,left foot injury (DNP)
2013-11-01,76ers,2198,Kwame Brown,False,True,strained right hamstring (DNP)
2013-11-01,Blazers,201964,Victor Claver,False,True,placed on IL
2013-11-01,Blazers,2248,Earl Watson,True,False,activated from IL
2013-11-01,Bobcats,2744,Al Jefferson,False,True,placed on IL with sprained right ankle
