Date,Team,playerID,Player,In,Out,Notes
2003-07-01,Bulls,923,Donyell Marshall,True,False,activated from IL
2003-07-01,Bulls,2033,Marcus Fizer,True,False,activated from IL
2003-07-01,Bulls,2199,Tyson Chandler,True,False,activated from IL
2003-07-01,Celtics,1743,Bruno Sundov,True,False,activated from IL
2003-07-01,Hawks,1544,Chris Crawford (Lee),True,False,activated from IL
2003-07-01,Hawks,1023,Emanual Davis,True,False,activated from IL
2003-07-01,Hornets,1724,Bryce Drew,True,False,activated from IL
2003-07-01,Hornets,2213,Kirk Haston,True,False,activated from IL
2003-07-01,Warriors,1502,Adonal Foyle,False,True,arthroscopic surgery on left knee
2003-07-01,Hawks,2035,DerMarr Johnson,True,False,activated from IL
2003-07-01,Lakers,145,Tracy Murray,True,False,activated from IL
2003-07-22,Hawks,949,Shareef Abdur-Rahim,False,True,surgery on back
2003-08-05,Sonics,2557,Luke Ridnour,False,True,surgery to repair pulled abdominal muscle
2003-08-07,Pistons,1442,Zeljko Rebraca,False,True,surgery for irregular heartbeat
2003-09-10,Rockets,1559,Adrian Griffin,False,True,arthroscopic surgery on right knee to clean up loose debris
2003-09-17,Knicks,970,Othella Harrington,False,True,sprained MCL in right knee (out 4-8 weeks)
2003-09-19,Kings,1444,Lawrence Funderburke,False,True,surgery on left Achilles tendon (out at least 6 months)
2003-10-01,Sonics,2555,Nick Collison,False,True,partially dislocated left shoulder
2003-10-03,Pacers,1886,Jonathan Bender,False,True,arthroscopic surgery on left knee (out 4 weeks)
2003-10-04,Heat,2406,Caron Butler,False,True,arthroscopic surgery on left knee to remove loose debris (out 3-4 weeks)
2003-10-04,Suns,281,Scott Williams,False,True,surgery on left thumb to repair ligaments (out 6 weeks)
2003-10-05,Rockets,1508,Maurice Taylor,False,True,dislocated left shoulder (out indefinitely)
2003-10-06,Pacers,1533,Anthony Johnson,False,True,spiral fracture of left ring finger (out 4-6 weeks)
2003-10-08,Cavaliers,2402,Dajuan Wagner,False,True,surgery on right knee to repair torn meniscus
