,Player,Team,PLAYER_ID,PTS2,xPTS2,FG2_PCT,Shot_Making2,Points_Added2,PTS3,xPTS3,FG3_PCT,Shot_Making3,Points_Added3,PTS,xPTS,eFG,xeFG,Shot_Making,Points_Added
136,Kevin Huerter,Chicago Bulls,1628989,186.0,184.38,0.581,0.01,1.62,318.0,340.87,0.335,-0.072,-22.87,504,525.26,0.529,0.552,-0.045,-21.3
137,Jaren Jackson Jr.,Memphis Grizzlies,1628991,788.0,724.44,0.553,0.089,63.56,357.0,368.16,0.367,-0.034,-11.16,1145,1092.62,0.552,0.527,0.051,52.4
138,Caleb Martin,Dallas Mavericks,1628997,152.0,165.88,0.472,-0.086,-13.88,93.0,96.36,0.352,-0.038,-3.36,245,262.23,0.492,0.527,-0.069,-17.2
139,Cody Martin,Phoenix Suns,1628998,162.0,160.71,0.529,0.008,1.29,123.0,146.37,0.306,-0.174,-23.37,285,307.08,0.497,0.535,-0.077,-22.1
140,Shake Milton,Los Angeles Lakers,1629003,142.0,135.34,0.534,0.05,6.66,111.0,110.43,0.366,0.006,0.57,253,245.78,0.541,0.525,0.031,7.2
141,Svi Mykhailiuk,Utah Jazz,1629004,76.0,79.36,0.494,-0.044,-3.36,162.0,163.19,0.338,-0.007,-1.19,238,242.55,0.502,0.512,-0.019,-4.6
142,Josh Okogie,Charlotte Hornets,1629006,108.0,118.07,0.529,-0.099,-10.07,75.0,74.14,0.385,0.013,0.86,183,192.21,0.548,0.575,-0.055,-9.2
143,Michael Porter Jr.,Denver Nuggets,1629008,590.0,563.78,0.597,0.053,26.22,501.0,425.28,0.4,0.181,75.72,1091,989.04,0.598,0.542,0.112,102.0
144,Collin Sexton,Utah Jazz,1629012,512.0,523.18,0.514,-0.022,-11.18,291.0,246.01,0.415,0.192,44.99,803,769.18,0.548,0.525,0.046,33.8
145,Landry Shamet,New York Knicks,1629013,62.0,57.95,0.596,0.078,4.05,72.0,80.03,0.32,-0.107,-8.03,134,137.98,0.528,0.543,-0.031,-4.0
146,Anfernee Simons,Portland Trail Blazers,1629014,502.0,481.38,0.497,0.041,20.62,618.0,573.83,0.371,0.079,44.17,1120,1055.2,0.528,0.497,0.061,64.8
147,Gary Trent Jr.,Milwaukee Bucks,1629018,176.0,186.34,0.471,-0.055,-10.34,438.0,378.73,0.422,0.171,59.27,614,565.06,0.576,0.53,0.092,48.9
148,Moritz Wagner,Orlando Magic,1629021,226.0,207.89,0.649,0.104,18.11,81.0,85.61,0.36,-0.061,-4.61,307,293.5,0.616,0.589,0.054,13.5
149,P.J. Washington,Dallas Mavericks,1629023,368.0,416.74,0.482,-0.128,-48.74,243.0,235.01,0.379,0.037,7.99,611,651.74,0.513,0.547,-0.068,-40.7
150,Kenrich Williams,Oklahoma City Thunder,1629026,152.0,143.23,0.594,0.069,8.77,159.0,150.97,0.398,0.06,8.03,311,294.2,0.596,0.564,0.064,16.8
151,Trae Young,Atlanta Hawks,1629027,576.0,615.56,0.47,-0.065,-39.56,525.0,556.65,0.332,-0.06,-31.65,1101,1172.22,0.483,0.514,-0.062,-71.2
152,Deandre Ayton,Portland Trail Blazers,1629028,510.0,490.51,0.594,0.045,19.49,18.0,36.12,0.194,-0.585,-18.12,528,526.62,0.574,0.572,0.003,1.4
153,Luka Doncic,Los Angeles Lakers,1629029,424.0,403.07,0.52,0.051,20.93,345.0,347.35,0.334,-0.007,-2.35,769,750.42,0.511,0.499,0.025,18.6
154,Goga Bitadze,Orlando Magic,1629048,370.0,339.67,0.67,0.11,30.33,9.0,25.22,0.136,-0.737,-16.22,379,364.89,0.636,0.612,0.047,14.1
155,Robert Williams III,Portland Trail Blazers,1629057,98.0,94.99,0.653,0.04,3.01,3.0,3.52,0.333,-0.173,-0.52,101,98.51,0.647,0.631,0.032,2.5
156,Rui Hachimura,Los Angeles Lakers,1629060,338.0,338.61,0.577,-0.002,-0.61,252.0,227.91,0.412,0.118,24.09,590,566.51,0.594,0.57,0.047,23.5
157,Jock Landale,Houston Rockets,1629111,98.0,113.72,0.5,-0.16,-15.72,21.0,19.37,0.412,0.096,1.63,119,133.08,0.517,0.579,-0.122,-14.1
158,Duncan Robinson,Miami Heat,1629130,184.0,183.48,0.575,0.003,0.52,501.0,434.51,0.389,0.155,66.49,685,617.98,0.581,0.525,0.114,67.0
159,Gabe Vincent,Los Angeles Lakers,1629216,102.0,102.92,0.51,-0.009,-0.92,258.0,261.76,0.355,-0.016,-3.76,360,364.67,0.526,0.533,-0.014,-4.7
160,Drew Eubanks,LA Clippers,1629234,202.0,201.98,0.598,0.0,0.02,9.0,6.89,0.5,0.352,2.11,211,208.87,0.603,0.597,0.012,2.1
161,Haywood Highsmith,Miami Heat,1629312,148.0,158.44,0.578,-0.082,-10.44,216.0,205.99,0.402,0.056,10.01,364,364.44,0.593,0.594,-0.001,-0.4
162,Amir Coffey,LA Clippers,1629599,256.0,263.37,0.52,-0.03,-7.37,291.0,261.29,0.409,0.125,29.71,547,524.66,0.566,0.543,0.046,22.3
163,DaQuan Jeffries,Charlotte Hornets,1629610,86.0,92.06,0.524,-0.074,-6.06,111.0,123.38,0.325,-0.109,-12.38,197,215.44,0.503,0.55,-0.094,-18.4
164,Terance Mann,Atlanta Hawks,1629611,200.0,198.07,0.559,0.011,1.93,141.0,133.61,0.395,0.062,7.39,341,331.69,0.572,0.557,0.031,9.3
165,Andrew Nembhard,Indiana Pacers,1629614,316.0,295.16,0.537,0.071,20.84,129.0,152.06,0.319,-0.171,-23.06,445,447.2,0.519,0.521,-0.005,-2.2
166,Jalen Pickett,Denver Nuggets,1629618,52.0,55.2,0.456,-0.056,-3.2,84.0,76.86,0.406,0.103,7.14,136,132.04,0.54,0.524,0.031,4.0
167,Max Strus,Cleveland Cavaliers,1629622,80.0,79.89,0.606,0.002,0.11,282.0,256.4,0.387,0.105,25.6,362,336.29,0.586,0.544,0.083,25.7
168,Bol Bol,Phoenix Suns,1629626,122.0,92.5,0.701,0.339,29.5,87.0,95.07,0.33,-0.092,-8.07,209,187.56,0.597,0.536,0.123,21.4
169,Zion Williamson,New Orleans Pelicans,1629627,550.0,519.44,0.578,0.064,30.56,9.0,12.61,0.25,-0.301,-3.61,559,532.06,0.573,0.545,0.055,26.9
170,RJ Barrett,Toronto Raptors,1629628,632.0,646.61,0.528,-0.024,-14.61,279.0,295.97,0.348,-0.064,-16.97,911,942.57,0.527,0.545,-0.036,-31.6
171,Ja Morant,Memphis Grizzlies,1629630,508.0,507.21,0.518,0.002,0.79,189.0,234.05,0.293,-0.21,-45.05,697,741.24,0.494,0.526,-0.063,-44.2
172,De'Andre Hunter,Cleveland Cavaliers,1629631,330.0,318.87,0.537,0.036,11.13,399.0,347.6,0.413,0.16,51.4,729,666.48,0.579,0.53,0.099,62.5
173,Coby White,Chicago Bulls,1629632,464.0,448.97,0.533,0.035,15.03,549.0,550.78,0.36,-0.004,-1.78,1013,999.75,0.537,0.53,0.014,13.2
