,Player,Team,PLAYER_ID,PTS2,xPTS2,FG2_PCT,Shot_Making2,Points_Added2,PTS3,xPTS3,FG3_PCT,Shot_Making3,Points_Added3,PTS,xPTS,eFG,xeFG,Shot_Making,Points_Added
201,Bol Bol,Phoenix Suns,1629626,112.0,90.35,0.709,0.274,21.65,48.0,44.07,0.4,0.098,3.93,160,134.42,0.672,0.565,0.215,25.6
202,Zion Williamson,New Orleans Pelicans,1629627,1016.0,962.8,0.582,0.061,53.2,15.0,14.98,0.385,0.002,0.02,1031,977.79,0.582,0.552,0.06,53.2
203,RJ Barrett,Toronto Raptors,1629628,592.0,612.67,0.537,-0.038,-20.67,255.0,258.09,0.374,-0.014,-3.09,847,870.77,0.544,0.56,-0.031,-23.8
204,Cam Reddish,Los Angeles Lakers,1629629,102.0,125.92,0.459,-0.215,-23.92,102.0,116.8,0.333,-0.145,-14.8,204,242.72,0.479,0.57,-0.182,-38.7
205,Ja Morant,Memphis Grizzlies,1629630,132.0,123.22,0.555,0.074,8.78,39.0,53.38,0.271,-0.3,-14.38,171,176.61,0.512,0.529,-0.034,-5.6
206,De'Andre Hunter,Atlanta Hawks,1629631,288.0,277.18,0.524,0.039,10.82,264.0,241.69,0.396,0.1,22.31,552,518.87,0.555,0.522,0.067,33.1
207,Coby White,Chicago Bulls,1629632,542.0,546.24,0.507,-0.008,-4.24,552.0,529.48,0.388,0.048,22.52,1094,1075.72,0.542,0.533,0.018,18.3
208,Darius Garland,Cleveland Cavaliers,1629636,404.0,407.38,0.508,-0.008,-3.38,321.0,313.01,0.372,0.028,7.99,725,720.39,0.528,0.525,0.007,4.6
209,Jaxson Hayes,Los Angeles Lakers,1629637,190.0,168.26,0.742,0.17,21.74,0.0,7.92,0.0,-1.131,-7.92,190,176.18,0.704,0.653,0.102,13.8
210,Nickeil Alexander-Walker,Minnesota Timberwolves,1629638,174.0,180.7,0.518,-0.04,-6.7,312.0,307.2,0.378,0.017,4.8,486,487.91,0.549,0.551,-0.004,-1.9
211,Tyler Herro,Miami Heat,1629639,328.0,340.38,0.473,-0.036,-12.38,348.0,300.66,0.406,0.166,47.34,676,641.04,0.534,0.506,0.055,35.0
212,Keldon Johnson,San Antonio Spurs,1629640,506.0,522.32,0.534,-0.034,-16.32,351.0,373.21,0.344,-0.065,-22.21,857,895.55,0.526,0.55,-0.047,-38.6
213,Nassir Little,Phoenix Suns,1629642,62.0,54.0,0.646,0.167,8.0,60.0,72.67,0.317,-0.201,-12.67,122,126.68,0.55,0.571,-0.042,-4.7
214,Chuma Okeke,Orlando Magic,1629643,32.0,32.29,0.571,-0.01,-0.29,69.0,87.65,0.291,-0.236,-18.65,101,119.94,0.472,0.56,-0.177,-18.9
215,Nic Claxton,Brooklyn Nets,1629651,618.0,588.29,0.638,0.061,29.71,3.0,5.46,0.2,-0.492,-2.46,621,593.75,0.635,0.607,0.056,27.2
216,Luguentz Dort,Oklahoma City Thunder,1629652,222.0,255.71,0.505,-0.153,-33.71,405.0,371.27,0.409,0.102,33.73,627,626.98,0.57,0.57,0.0,0.0
217,Daniel Gafford,Dallas Mavericks,1629655,572.0,512.43,0.708,0.147,59.57,0.0,0.0,0.0,0.0,0.0,572,512.43,0.708,0.634,0.147,59.6
218,Quentin Grimes,Detroit Pistons,1629656,78.0,92.51,0.464,-0.173,-14.51,240.0,255.27,0.338,-0.064,-15.27,318,347.77,0.495,0.542,-0.093,-29.8
219,Talen Horton-Tucker,Utah Jazz,1629659,208.0,250.66,0.433,-0.178,-42.66,147.0,165.98,0.329,-0.127,-18.98,355,416.62,0.456,0.536,-0.158,-61.6
220,Cameron Johnson,Brooklyn Nets,1629661,260.0,264.04,0.522,-0.016,-4.04,393.0,366.31,0.393,0.08,26.69,653,630.33,0.561,0.542,0.039,22.7
221,Jalen McDaniels,Toronto Raptors,1629667,70.0,81.02,0.486,-0.153,-11.02,33.0,70.14,0.177,-0.599,-37.14,103,151.15,0.384,0.564,-0.359,-48.2
222,Jordan Nwora,Toronto Raptors,1629670,136.0,141.63,0.567,-0.047,-5.63,93.0,109.07,0.32,-0.166,-16.07,229,250.68,0.528,0.578,-0.1,-21.7
223,Jordan Poole,Washington Wizards,1629673,522.0,549.02,0.487,-0.05,-27.02,450.0,507.71,0.321,-0.124,-57.71,972,1056.73,0.485,0.527,-0.084,-84.7
224,Neemias Queta,Boston Celtics,1629674,102.0,105.18,0.614,-0.038,-3.18,0.0,0.0,0.0,0.0,0.0,102,105.18,0.614,0.634,-0.038,-3.2
225,Naz Reid,Minnesota Timberwolves,1629675,392.0,404.28,0.546,-0.034,-12.28,411.0,376.97,0.411,0.102,34.03,803,781.24,0.58,0.564,0.031,21.8
226,Matisse Thybulle,Portland Trail Blazers,1629680,88.0,98.06,0.537,-0.123,-10.06,231.0,254.61,0.345,-0.106,-23.61,319,352.67,0.523,0.578,-0.11,-33.7
227,Grant Williams,Charlotte Hornets,1629684,216.0,228.47,0.54,-0.062,-12.47,297.0,320.49,0.351,-0.083,-23.49,513,548.97,0.532,0.569,-0.075,-36.0
228,John Konchar,Memphis Grizzlies,1629723,100.0,112.46,0.568,-0.142,-12.46,114.0,134.5,0.319,-0.172,-20.5,214,246.95,0.517,0.596,-0.159,-32.9
229,Garrison Mathews,Atlanta Hawks,1629726,20.0,20.87,0.5,-0.044,-0.87,174.0,139.25,0.439,0.263,34.75,194,160.12,0.638,0.527,0.223,33.9
230,Dean Wade,Cleveland Cavaliers,1629731,34.0,32.56,0.586,0.05,1.44,234.0,224.91,0.392,0.046,9.09,268,257.45,0.588,0.565,0.046,10.6
231,Anthony Edwards,Minnesota Timberwolves,1630162,916.0,912.39,0.512,0.004,3.61,501.0,460.19,0.375,0.092,40.81,1417,1372.56,0.529,0.513,0.033,44.4
232,LaMelo Ball,Charlotte Hornets,1630163,226.0,235.73,0.5,-0.043,-9.73,207.0,215.57,0.352,-0.044,-8.57,433,451.28,0.513,0.535,-0.043,-18.3
233,James Wiseman,Detroit Pistons,1630164,276.0,262.32,0.654,0.065,13.68,0.0,1.19,0.0,-1.19,-1.19,276,263.51,0.651,0.621,0.059,12.5
234,Killian Hayes,Detroit Pistons,1630165,190.0,203.06,0.455,-0.062,-13.06,66.0,84.08,0.297,-0.244,-18.08,256,287.13,0.452,0.507,-0.11,-31.1
235,Deni Avdija,Washington Wizards,1630166,532.0,552.9,0.558,-0.044,-20.9,228.0,215.93,0.396,0.063,12.07,760,768.83,0.568,0.575,-0.013,-8.8
236,Obi Toppin,Indiana Pacers,1630167,392.0,363.51,0.693,0.101,28.49,255.0,244.33,0.399,0.05,10.67,647,607.83,0.652,0.613,0.079,39.2
237,Onyeka Okongwu,Atlanta Hawks,1630168,396.0,371.8,0.673,0.082,24.2,69.0,78.76,0.333,-0.141,-9.76,465,450.56,0.64,0.621,0.04,14.4
238,Tyrese Haliburton,Indiana Pacers,1630169,538.0,463.52,0.594,0.164,74.48,480.0,483.85,0.361,-0.009,-3.85,1018,947.38,0.568,0.529,0.079,70.6
