,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus
374,1631286,Jalen Adaway,Jalen,1612709924,SDC,26.0,36,14,22,0.389,20.55,2.72,7.39,0.368,0.83,3.11,0.267,0.5,0.56,0.893,1.17,2.33,3.5,1.33,0.89,0.78,0.39,0.44,1.61,0.72,7.06,-3.0
375,1628876,Jared Brownridge,Jared,1612709909,DEL,30.0,37,15,22,0.405,22.4,2.41,7.65,0.315,1.86,6.38,0.292,0.16,0.27,0.593,0.16,1.22,1.38,1.46,0.49,0.46,0.05,0.14,0.59,0.41,6.95,-1.41
376,1642759,Jordan Wright,Jordan,1612709932,MCC,24.0,30,20,10,0.667,18.76,2.33,5.47,0.426,0.8,2.67,0.3,0.8,1.13,0.708,0.8,2.13,2.93,1.0,1.53,1.4,0.47,0.33,2.2,1.47,6.87,-2.27
377,1642525,Luis Rodriguez,Luis,1612709931,MXC,25.0,26,13,13,0.5,18.51,2.38,5.65,0.421,0.88,2.65,0.332,0.73,0.96,0.76,1.27,1.88,3.15,0.54,0.5,1.12,0.38,0.5,2.15,1.42,6.85,1.42
378,1642620,Tyrell Roberts,Tyrell,1612709915,MNE,25.0,12,6,6,0.5,15.97,2.67,7.83,0.341,1.33,4.33,0.307,0.17,0.17,1.0,0.5,1.0,1.5,2.33,0.67,0.33,0.17,0.33,1.67,0.5,6.83,0.83
379,1631198,Aminu Mohammed,Aminu,1612709909,DEL,23.0,38,16,22,0.421,18.24,2.71,5.39,0.503,0.05,0.29,0.172,0.71,1.0,0.71,1.84,2.61,4.45,1.74,1.05,1.03,0.29,0.68,1.82,1.45,6.76,-2.58
380,1630574,Ariel Hukporti,Ariel,1612709919,WES,22.0,7,6,1,0.857,21.14,3.0,5.43,0.552,0.0,0.0,,0.43,0.43,1.0,1.29,4.43,5.71,0.57,1.29,0.43,2.0,0.29,3.43,1.0,6.71,-0.71
381,1630721,Marcus Burk,Marcus,1612709902,SCW,27.0,39,19,20,0.487,18.91,2.33,5.08,0.459,0.92,2.59,0.355,0.64,0.77,0.831,0.9,1.72,2.62,0.9,0.82,0.97,0.15,0.18,2.0,1.23,6.62,-3.59
382,1641888,Jhonathan Dunn,Jhonathan,1612709905,SBL,27.0,28,12,16,0.429,16.07,2.18,5.18,0.421,1.57,3.93,0.399,0.39,0.57,0.684,0.57,0.93,1.5,0.86,0.82,0.32,0.32,0.07,1.39,0.57,6.61,1.14
383,1642684,Tray Jackson,Tray,1612709890,AUS,24.0,11,7,4,0.636,14.41,2.0,4.0,0.5,0.27,0.91,0.297,1.27,1.45,0.876,0.64,1.55,2.18,0.45,1.18,0.45,0.64,0.27,2.36,1.82,6.55,0.82
384,1642610,Jordan Henderson,Jordan,1612709918,TEX,25.0,21,6,15,0.286,23.06,2.33,6.62,0.352,1.19,4.29,0.277,0.38,0.52,0.731,0.43,2.1,2.52,1.0,1.38,0.62,0.1,0.24,1.43,0.9,6.52,-4.33
385,1631249,Josiah-Jordan James,Josiah-Jordan,1612709910,IMA,24.0,34,16,18,0.471,23.43,2.41,5.41,0.445,1.47,3.47,0.424,0.15,0.15,1.0,0.79,2.47,3.26,1.53,0.71,0.85,0.32,0.21,1.71,0.35,6.5,0.76
386,1641941,Vincent Valerio-Bodon,Vincent,1612709933,RCR,23.0,38,15,23,0.395,22.46,2.29,6.16,0.372,1.29,4.39,0.294,0.32,0.42,0.762,0.71,2.61,3.32,1.63,1.26,1.24,0.53,0.24,1.24,0.71,6.42,-2.05
387,1642405,Jaedon LeDee,Jaedon,1612709903,SLC,25.0,37,19,18,0.514,16.8,2.43,5.35,0.454,0.3,1.22,0.246,0.7,0.92,0.761,2.08,3.32,5.41,0.59,0.81,0.46,0.16,0.57,1.78,1.54,6.41,-0.76
388,1627775,Patrick McCaw,Patrick,1612709909,DEL,29.0,42,18,24,0.429,28.3,2.48,6.07,0.409,0.76,3.14,0.242,0.4,0.57,0.702,0.67,3.05,3.71,2.05,0.86,1.76,0.1,0.33,1.05,0.74,6.4,-1.79
389,1641756,Mike Miles Jr.,Mike,1612709923,WCB,22.0,18,10,8,0.556,14.83,2.56,6.33,0.404,0.72,3.06,0.235,0.33,0.72,0.458,0.44,1.11,1.56,0.94,0.94,0.33,0.22,0.5,1.33,0.89,6.39,-5.61
390,1642578,John Ukomadu,John,1612709932,MCC,23.0,30,17,13,0.567,16.75,2.53,4.63,0.546,1.0,2.17,0.461,0.17,0.37,0.459,1.23,1.73,2.97,0.4,0.9,0.77,0.67,0.13,1.77,0.53,6.37,2.5
391,1642516,"Kevin Cross, Jr.","Jr., Kevin",1612709908,RGV,24.0,33,20,13,0.606,12.54,2.64,5.48,0.482,0.18,1.06,0.17,0.52,0.73,0.712,1.12,2.79,3.91,0.45,0.85,0.3,0.27,0.64,1.39,0.88,6.36,-1.27
392,1630651,Romeo Weems,Romeo,1612709933,RCR,23.0,35,15,20,0.429,19.8,2.43,5.34,0.455,0.91,2.86,0.318,0.37,0.74,0.5,1.17,2.29,3.46,1.26,1.29,0.86,0.71,0.11,2.0,1.03,6.34,-1.26
393,1642558,Martez Brown,Martez,1612709911,IWA,24.0,41,16,25,0.39,20.43,2.8,4.41,0.635,0.05,0.2,0.25,0.37,0.78,0.474,2.0,4.2,6.2,0.95,0.66,1.0,0.76,0.66,2.85,1.22,6.29,-3.56
394,1628968,Brian Bowen II,Brian,1612709914,STO,26.0,31,19,12,0.613,17.45,2.42,4.42,0.548,0.52,1.45,0.359,0.48,0.61,0.787,1.0,3.23,4.23,1.19,1.16,0.42,0.26,0.32,1.23,0.74,6.26,-2.23
395,1630342,Trhae Mitchell,Trhae,1612709913,BHM,27.0,41,15,26,0.366,25.89,2.22,5.41,0.41,1.61,4.15,0.388,0.1,0.2,0.5,0.83,2.07,2.9,1.12,0.98,1.17,0.66,0.22,2.61,0.54,6.22,-5.46
396,1642385,Cui Yongxi,Cui,1612709921,LIN,21.0,10,2,8,0.2,16.85,1.8,5.6,0.321,1.2,2.8,0.429,0.6,0.8,0.75,0.6,2.0,2.6,1.2,1.4,0.6,0.4,0.8,1.2,0.8,6.2,-6.6
397,1642524,Kyle Rose,Kyle,1612709931,MXC,25.0,39,20,19,0.513,23.74,2.13,6.26,0.34,0.92,3.46,0.266,0.59,0.97,0.608,1.33,2.05,3.38,1.62,0.85,1.41,0.41,0.44,2.23,1.79,6.18,-0.95
398,1642588,Tommy Rutherford,Tommy,1612709932,MCC,28.0,17,9,8,0.529,17.66,2.71,4.65,0.583,0.0,0.06,0.0,0.47,0.65,0.723,2.12,2.65,4.76,0.65,0.29,0.18,0.47,0.24,1.76,1.24,6.18,3.06
399,1641799,Caleb McConnell,Caleb,1612709922,GBO,25.0,33,21,12,0.636,26.74,2.48,5.91,0.42,0.36,1.76,0.205,0.48,0.52,0.923,1.52,4.3,5.82,2.0,1.45,1.58,0.67,0.45,2.7,1.39,6.09,3.33
400,1642521,Philip Alston,Philip,1612709927,WIS,23.0,10,0,10,0.0,19.26,1.6,5.4,0.296,0.2,1.8,0.111,1.4,1.4,1.0,2.6,1.4,4.0,0.4,0.6,0.2,0.0,0.6,1.4,1.8,6.0,-4.6
401,1642128,Kihei Clark,Kihei,1612709931,MXC,25.0,14,0,14,0.0,16.48,2.29,3.57,0.641,0.86,0.86,1.0,0.29,0.43,0.674,0.0,1.0,1.0,2.57,2.14,0.14,0.14,0.14,1.71,0.71,6.0,-10.43
402,1642573,Jordan Minor,Jordan,1612709921,LIN,24.0,34,10,24,0.294,12.77,2.21,4.35,0.508,0.0,0.0,,0.91,1.09,0.835,1.74,1.79,3.53,0.44,0.62,0.18,0.44,0.53,1.12,1.29,6.0,-1.15
