,Player,Team,FGM,FGA,PTS,xPTS,eFG,xeFG,Points_Added,Shot_Making
184,Cam Reddish,Los Angeles Lakers,48,115,113,129.3,0.509,0.565,-12.7,-0.111
185,Patrick Williams,Chicago Bulls,79,184,185,199.0,0.505,0.541,-13.2,-0.072
186,Collin Sexton,Utah Jazz,107,235,242,257.4,0.517,0.546,-13.5,-0.057
187,Jabari Walker,Portland Trail Blazers,61,134,134,150.9,0.495,0.547,-13.9,-0.104
188,Jerami Grant,Portland Trail Blazers,127,293,298,318.2,0.508,0.532,-14.0,-0.048
189,Malaki Branham,San Antonio Spurs,82,189,186,204.3,0.498,0.537,-14.4,-0.076
190,Gordon Hayward,Charlotte Hornets,125,267,270,292.9,0.509,0.536,-14.5,-0.054
191,Klay Thompson,Golden State Warriors,110,270,276,299.5,0.514,0.542,-15.1,-0.056
192,Jimmy Butler,Miami Heat,133,286,285,305.0,0.497,0.524,-15.7,-0.055
193,Georges Niang,Cleveland Cavaliers,72,177,181,195.8,0.514,0.559,-15.8,-0.089
194,Precious Achiuwa,Toronto Raptors,56,123,124,141.1,0.503,0.569,-16.1,-0.131
195,Santi Aldama,Memphis Grizzlies,82,186,192,209.7,0.521,0.565,-16.2,-0.087
196,Andre Drummond,Chicago Bulls,58,119,116,143.0,0.49,0.56,-16.7,-0.14
197,Caleb Martin,Miami Heat,66,154,151,168.2,0.49,0.545,-16.7,-0.108
198,Spencer Dinwiddie,Brooklyn Nets,105,262,258,282.4,0.494,0.527,-17.0,-0.065
199,Damian Lillard,Milwaukee Bucks,155,370,374,403.4,0.507,0.531,-17.5,-0.047
200,Ziaire Williams,Memphis Grizzlies,57,149,138,163.0,0.493,0.553,-17.7,-0.119
201,Walker Kessler,Utah Jazz,64,116,130,143.8,0.537,0.615,-17.9,-0.155
202,Jordan Goodwin,Phoenix Suns,58,146,138,159.4,0.476,0.538,-18.2,-0.125
203,Josh Okogie,Phoenix Suns,45,108,104,121.9,0.486,0.571,-18.3,-0.169
204,Killian Hayes,Detroit Pistons,89,204,196,221.7,0.484,0.529,-18.5,-0.091
205,Kyle Anderson,Minnesota Timberwolves,60,129,122,142.6,0.463,0.535,-18.7,-0.145
206,Jaden Hardy,Dallas Mavericks,44,115,105,125.1,0.454,0.535,-18.8,-0.164
207,Day'Ron Sharpe,Brooklyn Nets,62,111,124,133.0,0.488,0.574,-19.1,-0.172
208,Jevon Carter,Chicago Bulls,46,125,118,134.8,0.462,0.54,-19.7,-0.157
209,Malcolm Brogdon,Portland Trail Blazers,89,218,207,233.5,0.48,0.526,-19.8,-0.091
210,Jordan Hawkins,New Orleans Pelicans,88,229,232,254.5,0.502,0.545,-19.9,-0.087
211,Shaedon Sharpe,Portland Trail Blazers,137,319,323,349.0,0.505,0.537,-20.3,-0.064
212,Aaron Gordon,Denver Nuggets,105,208,218,233.5,0.5,0.55,-20.6,-0.099
213,De'Anthony Melton,Philadelphia 76ers,96,241,245,266.0,0.502,0.546,-21.2,-0.088
214,Bennedict Mathurin,Indiana Pacers,107,243,241,266.6,0.496,0.54,-21.3,-0.088
215,Julius Randle,New York Knicks,185,408,409,438.7,0.51,0.538,-22.9,-0.056
216,Alec Burks,Detroit Pistons,48,136,128,148.0,0.454,0.538,-23.2,-0.17
217,P.J. Washington,Charlotte Hornets,106,245,252,273.1,0.512,0.562,-24.0,-0.098
218,Franz Wagner,Orlando Magic,170,368,375,409.3,0.517,0.55,-24.7,-0.067
219,Shake Milton,Minnesota Timberwolves,45,118,101,130.0,0.429,0.535,-25.1,-0.212
220,DeMar DeRozan,Chicago Bulls,170,389,363,410.9,0.478,0.511,-25.7,-0.066
221,Caris LeVert,Cleveland Cavaliers,92,224,212,240.7,0.475,0.533,-26.0,-0.116
222,David Roddy,Memphis Grizzlies,73,177,170,197.8,0.481,0.557,-26.6,-0.15
223,Dennis Schroder,Toronto Raptors,124,298,289,319.0,0.485,0.53,-27.0,-0.091
224,Dyson Daniels,New Orleans Pelicans,64,160,145,175.9,0.456,0.552,-30.6,-0.191
225,Jusuf Nurkic,Phoenix Suns,106,230,228,265.4,0.5,0.567,-30.8,-0.134
